"","Full Citation","Source","Year","Author Last Name","Author First Name","Title","Type","`Full Citation` == `Full Citation`"
"1","Adamic, Louis. My America 1928-1938. New York: Harper & Brothers, 1938. ","Sims - True Stories",1938,"Adamic","Louis","My America 1928-1938","Primary Works",TRUE
"2","Ade, George. Chicago Stories. Edited by Franklin J. Meine; illustrated by John T. McCutcheon and others. Chicago: Henry Regnery, 1963. Selected journalism from early in the century.","Sims - True Stories",1963,"Ade","George","Chicago Stories","Primary Works",TRUE
"3","Ade, George. The Old Time Saloon. New York: R. Long & R. R. Smith, 1931. ","Sims - True Stories",1931,"Ade","George","The Old Time Saloon","Primary Works",TRUE
"4","Agee, James. James Agee: Selected Journalism. Edited, with an introduction, by Paul Ashdown. Knoxville: University of Tennessee Press, 1985. ","Sims - True Stories",1985,"Agee","James","James Agee: Selected Journalism","Primary Works",TRUE
"5","Agee, James. Let Us Now Praise Famous Men. Photos by Walker Evans, with an introduction by John Hersey. Boston: Houghton Mifflin, 1988. Originally published in 1941.","Sims - True Stories",1941,"Agee","James","Let Us Now Praise Famous Men","Primary Works",TRUE
"6","Anzaldúa, Gloria. Borderlands/La Frontera: The New Mestiza. San Francisco: Spinsters/Aunt Lute Book Co., 1987.","Sims - True Stories",1987,"Anzaldúa","Gloria","Borderlands/La Frontera: The New Mestiza","Primary Works",TRUE
"7","Arlen, Michael J. Thirty Seconds. New York: Farrar, Straus, Giroux, 1980. ","Sims - True Stories",1980,"Arlen","Michael","Thirty Seconds","Primary Works",TRUE
"8","Baker, Ray Stannard. Following the Color Line. New York: Harper Torchbooks, 1964. Originally published by Doubleday, Page & Co. in 1908.","Sims - True Stories",1908,"Baker","Ray","Following the Color Line","Primary Works",TRUE
"9","Bangs, Lester. Psychotic Reactions and Carburetor Dung. New York: Alfred A. Knopf, 1987.","Sims - True Stories",1987,"Bangs","Lester","Psychotic Reactions and Carburetor Dung","Primary Works",TRUE
"10","Banks, Elizabeth L. Campaigns of Curiosity: Journalistic Adventures of an American Girl in Late Victorian London. Introduction by Mary Suzanne Schriber and Abbey Zink. (Orig. 1894, reprinted by University of Wisconsin Press, 2003.)","Sims - True Stories",2003,"Banks","Elizabeth","Campaigns of Curiosity: Journalistic Adventures of an American Girl in Late Victorian London","Primary Works",TRUE
"11","Barich, Bill. A Fine Place to Daydream: Racehorses, Romance, and the Irish. New York: Alfred A. Knopf, 2005.","Sims - True Stories",2005,"Barich","Bill","A Fine Place to Daydream: Racehorses, Romance, and the Irish","Primary Works",TRUE
"12","Barich, Bill. Laughing in the Hills. New York: Viking Penguin, 1980.","Sims - True Stories",1980,"Barich","Bill","Laughing in the Hills","Primary Works",TRUE
"13","Bedford, Sybille. The Faces of Justice: A Traveller's Report. New York: Simon and Schuster, 1961.","Sims - True Stories",1961,"Bedford","Sybille","The Faces of Justice: A Traveller's Report","Primary Works",TRUE
"14","Berger, Meyer. Meyer Berger’s New York. New York: Random House, 1960.","Sims - True Stories",1960,"Berger","Meyer","Meyer Berger’s New York","Primary Works",TRUE
"15","Berger, Meyer. The Eight Million: Journal of a New York Correspondent. New York: Columbia University Press, 1983. Originally published by Simon and Schuster, 1942.","Sims - True Stories",1942,"Berger","Meyer","The Eight Million: Journal of a New York Correspondent","Primary Works",TRUE
"16","Berkman, Alexander. Prison Memoirs of an Anarchist. Introduction by Hutchins Hapgood; new introduction by Paul Goodman. New York: Schocken Books, 1970. Originally published 1912.","Sims - True Stories",1912,"Berkman","Alexander","Prison Memoirs of an Anarchist","Primary Works",TRUE
"17","Bissinger, H. G. “Buzz.” Friday Night Lights: A Town, a Team, and a Dream. Reading, Mass,: Addison Wesley, 1990.","Sims - True Stories",1990,"Bissinger","H","Buzz","Primary Works",TRUE
