,fullCit,Source,Year,author,author_firstname,id,Type,gender
530,"Thompson, Maurice. â€œThe Prospect of Fiction.â€ù The Independent 52 (1900): 1182â€“83.",LJSBib,1900,Thompson,Maurice,Thompson_1182,Secondary Works,male
371,"Clark, Roy Peter. â€œTell Me a Story.â€ù Poynter Online 12 December 2003. Accessed 14 April 2004 <http://www.poynter.org/content/content_view.asp?id=51437>.",LJSBib,2003,Clark,Roy,Clark_1437,Secondary Works,male
306,from The True and Genuine Account of the Life and Actions of the Late Jonathan Wild / Daniel Defoe -- 1725,AoFTOC,1725,Defoe,Daniel,Defoe_1725,Primary Works,male
303,from The Life of Samuel Johnson / James Boswell -- 1791,AoFTOC,1791,Boswell,James,Boswell_1791,Primary Works,male
243,"Turgenev, Ivan. A Sportsman's Notebook. New York: Viking, 1950. Originally published 1852.",LJPrimary,1852,Turgenev,Ivan,Turgenev_1852,Primary Works,male
324,The Great Tasmania's Cargo / Charles Dickens -- 1860,AoFTOC,1860,Dickens,Charles,Dickens_1860,Primary Works,male
332,Watercress Girl / Henry Mayhew -- 1861,AoFTOC,1861,Mayhew,Henry,Mayhew_1861,Primary Works,male
299,from Specimen Days / Walt Whitman -- 1863,AoFTOC,1863,Whitman,Walt,Whitman_1863,Primary Works,male
245,"Twain, Mark. Innocents Abroad: or, The New Pilgrim's Progress. New York: Signet Classics, 1966; originally published 1869.",LJPrimary,1869,Twain,Mark,Twain_1869,Primary Works,male
247,"Twain, Mark. Roughing It. Hartford, Conn.: American Publishing Co., 1895; originally published 1871.",LJPrimary,1871,Twain,Mark,Twain_1871,Primary Works,male
217,"Schuyler, Eugene. Turkistan: Notes of a Journey in Russian Turkistan, Kokand, Bukhara and Kuldja. Edited and with an introduction by Geoffrey Wheeler; abridged by K. E. West. New York, Washington: Frederick A. Praeger, 1966. Originally published in two volumes, New York: Scribner, Armstrong & Co., 1877.",LJPrimary,1877,Schuyler,Eugene,Schuyler_1877,Primary Works,male
246,"Twain, Mark. Life on the Mississippi. New York: New American Library, 1980. Originally published 1883.",LJPrimary,1883,Twain,Mark,Twain_1883,Primary Works,male
106,"Hearn, Lafcadio. Fantastics and Other Fancies. Boston and New York: Houghton Mifflin,1914. New Orleans newspaper articles, 1879-1884.",LJPrimary,1884,Hearn,Lafcadio,Hearn_1884,Primary Works,male
69,"Finerty, John F. War-Path and Bivouac or The Conquest of the Sioux. Norman and London: University of Oklahoma Press, 1994; originally published 1890.",LJPrimary,1890,Finerty,John,Finerty_1890,Primary Works,male
211,"Riis, Jacob A. How the Other Half Lives: Studies Among the Tenements of New York. New York: Charles Scribnerâ€™s Sons, 1890.",LJPrimary,1890,Riis,Jacob,Riis_1890,Primary Works,male
552,"Anonymous, Anonymous. â€œBorderland of Literature,â€ù in Spectator 71:513 (Oct. 14, 1893).",SimsBib,1893,Anonymous,Anonymous,Anonymous_1893,Secondary Works,NA
294,from If Christ Came to Chicago / W.T. Stead -- 1894,AoFTOC,1894,Stead,W,Stead_1894,Primary Works,male
333,"When Man Falls, a Crown Gathers / Stephen Crane -- 1894",AoFTOC,1894,Crane,Stephen,Crane_1894,Primary Works,male
48,"Davis, Richard Harding. A Year from a Reporter's Note-Book. New York: Harper & Brothers, 1897.",LJPrimary,1897,Davis,Richard,Davis_1897,Primary Works,male
274,An Experiment in Misery / Stephen Crane -- 1898,AoFTOC,1898,Crane,Stephen,Crane_1898,Primary Works,male
275,Can't Get Their Minds Ashore / Abraham Cahan -- 1898,AoFTOC,1898,Cahan,Abraham,Cahan_1898,Primary Works,male
24,"Borrow, George. The Bible in Spain. New York: G. P. Putnam's Sons, 1899.",LJPrimary,1899,Borrow,George,Borrow_1899,Primary Works,male
80,"Flynt, Josiah. Tramping with Tramps: Studies and Sketches of Vagabond Life. New York: The Century Co., 1899.",LJPrimary,1899,Flynt,Josiah,Flynt_1899,Primary Works,male
317,"Pillelu, Pillelu! / Abraham Cahan -- 1899",AoFTOC,1899,Cahan,Abraham,Cahan_1899,Primary Works,male
456,"Lee, Gerard Stanley. â€œJournalism as a Basis for Literature.â€ù Atlantic Feb. 1900: 231â€“37.",LJSBib,1900,Lee,Gerard,Lee_1900,Secondary Works,male
574,"Lee, Gerald Stanley. â€œJournalism as a Basis for Literature,â€ù in Atlantic Monthly 85: 231-37 (Feb. 1900)",SimsBib,1900,Lee,Gerald,Lee_1900,Secondary Works,male
338,"Anonymous, Anonymous. â€œChronicle and Comment.â€ù The Bookman 14 (Oct. 1901): 110â€“11.",LJSBib,1901,Anonymous,Anonymous,Anonymous_1901,Secondary Works,NA
272,"Wyckoff, Walter A. A Day with a Tramp, and Other Days. New York: Benjamin Blom Inc., 1971; originally published 1901.",LJPrimary,1901,Wyckoff,Walter,Wyckoff_1901,Primary Works,male
96,"Hapgood, Hutchins. An Anarchist Woman. New York: Duffield & Co., 1909. â€”â€”. The Spirit of the Ghetto: Studies of the Jewish Quarter in New York. Introduction by Moses Rischin. Cambridge: Harvard University Press, 1967. Originally published in 1902.",LJPrimary,1902,Hapgood,Hutchins,Hapgood_1902,Primary Works,male
554,"Anonymous, Anonymous. â€œPlea for Literary Journalism,â€ù in Harperâ€™s Weekly, 46:1558 (Oct. 25, 1902).",SimsBib,1902,Anonymous,Anonymous,Anonymous_1902,Secondary Works,NA
304,from The People of the Abyss / Jack London -- 1902,AoFTOC,1902,London,Jack,London_1902,Primary Works,male
61,"Du Bois, W. E. B. The Souls of Black Folk, edited by Saunders Redding. New York: Fawcett, 1961. Originally published in 1903.",LJPrimary,1903,Du Bois,W,Du Bois_1903,Primary Works,male
149,"London, Jack. The People of the Abyss. New York: Grosset & Dunlap, 1903.",LJPrimary,1903,London,Jack,London_1903,Primary Works,male
321,The Death of Rodriguez / Richard Harding Davis -- 1903,AoFTOC,1903,Davis,Richard,Davis_1903,Primary Works,male
