,fullCit,Source,Year,author,author_firstname,id,Type,gender
13,"Bedford, Sybille. The Faces of Justice: A Traveller's Report. New York: Simon and Schuster, 1961.",LJPrimary,1961,Bedford,Sybille,Bedford_1961,Primary Works,female
17,"Bissinger, H. G. “Buzz.” Friday Night Lights: A Town, a Team, and a Dream. Reading, Mass,: Addison Wesley, 1990.",LJPrimary,1990,Bissinger,H,Bissinger_1990,Primary Works,male
18,"Bissinger, H. G. A Prayer for the City. New York: Random House, 1997.",LJPrimary,1997,Bissinger,H,Bissinger_1997,Primary Works,male
19,"Bissinger, H. G. Three Nights in August: Strategy, Heartbreak, and Joy Inside the Mind of a Manager. Boston and New York: Houghton Mifflin Co., 2005.",LJPrimary,2005,Bissinger,H,Bissinger_2005,Primary Works,male
29,"Bryan, C. D. B. Friendly Fire. New York: G. P. Putnam’s Sons, 1976.",LJPrimary,1976,Bryan,C,Bryan_1976,Primary Works,male
61,"Du Bois, W. E. B. The Souls of Black Folk, edited by Saunders Redding. New York: Fawcett, 1961. Originally published in 1903.",LJPrimary,1903,Du Bois,W,Du Bois_1903,Primary Works,male
62,"Du Bois, W. E. B. W E. B. DuBois: Writings, edited by Nathan Huggins. New York: The Library of America, 1986.",LJPrimary,1986,Du Bois,W,Du Bois_1986,Primary Works,male
96,"Hapgood, Hutchins. An Anarchist Woman. New York: Duffield & Co., 1909. ——. The Spirit of the Ghetto: Studies of the Jewish Quarter in New York. Introduction by Moses Rischin. Cambridge: Harvard University Press, 1967. Originally published in 1902.",LJPrimary,1902,Hapgood,Hutchins,Hapgood_1902,Primary Works,male
97,"Hapgood, Hutchins. The Spirit of Labor. New York: Duffield & Co., 1907.",LJPrimary,1907,Hapgood,Hutchins,Hapgood_1907,Primary Works,male
98,"Hapgood, Hutchins. Types from City Streets. New York and London: Funk & Wagnalls Co., 1910. Magazine articles and sketches.",LJPrimary,1910,Hapgood,Hutchins,Hapgood_1910,Primary Works,male
105,"Hearn, Lafcadio. Creole Sketches. Edited by Charles Woodward Hutson. Bostonand New York: Houghton Mifflin, 1924.",LJPrimary,1924,Hearn,Lafcadio,Hearn_1924,Primary Works,male
106,"Hearn, Lafcadio. Fantastics and Other Fancies. Boston and New York: Houghton Mifflin,1914. New Orleans newspaper articles, 1879-1884.",LJPrimary,1884,Hearn,Lafcadio,Hearn_1884,Primary Works,male
115,"Kapuściński, Ryszard. Another Day of Life. New York: Harcourt Brace Jovanovich, 1987; Vintage International Edition, 2001.",LJPrimary,2001,Kapuściński,Ryszard,Kapuściński_2001,Primary Works,male
116,"Kapuściński, Ryszard. The Shadow of the Sun. Translated from the Polish by Klara Glowczewska. New York and Toronto: Alfred A. Knopf, 2001.",LJPrimary,2001,Kapuściński,Ryszard,Kapuściński_2001,Primary Works,male
142,"Liebling, A. J. Back Where I Came From. New York: Sheridan House, 1938.",LJPrimary,1938,Liebling,A,Liebling_1938,Primary Works,male
143,"Liebling, A. J. Just Enough Liebling: Classic Work by the Legendary New Yorker Writer. Introduction by David Remnick. New York: North Point Press, 2004.",LJPrimary,2004,Liebling,A,Liebling_2004,Primary Works,male
144,"Liebling, A. J. Liebling Abroad. Introduction by Raymond Sokolov. Playboy Press, 1981. Contains: The Road Back to Paris, Mollie & Other War Pieces, Normandy Revisited, Between Meals: An Appetite for Paris.",LJPrimary,1981,Liebling,A,Liebling_1981,Primary Works,male
145,"Liebling, A. J. Liebling at Home. Introduction by Herbert Mitgang. Wideview Books, 1982. Contains: The Telephone Booth Indian; Chicago: The Second City; The Honest Rainmaker; The Earl of Louisiana; and The Jolity Building. ——. The Sweet Science. New York: Viking, 1956.",LJPrimary,1956,Liebling,A,Liebling_1956,Primary Works,male
152,"Lukas, J. Anthony. Common Ground: A Turbulent Decade in the Lives of Three American Families. New York: Alfred A. Knopf, 1985.",LJPrimary,1985,Lukas,J,Lukas_1985,Primary Works,male
186,"Naipaul, Shiva. Journey to Nowhere: A New World Tragedy. New York: Simon and Schuster, 1981; first published in Great Britain as Black and White, 1980.",LJPrimary,1980,Naipaul,Shiva,Naipaul_1980,Primary Works,male
187,"Naipaul, V. S. A Turn in the South. New York: Alfred A. Knopf, 1989.",LJPrimary,1989,Naipaul,V,Naipaul_1989,Primary Works,male
256,"White, E. B. Essays of E. B. White. New York: Harper Colophon Books, 1977.",LJPrimary,1977,White,E,White_1977,Primary Works,male
257,"White, E. B. Here Is New York. New York: Harper & Brothers, 1949.",LJPrimary,1949,White,E,White_1949,Primary Works,male
258,"White, E. B. The Second Tree from the Corner. New York: Harper & Row, 1965. Since 1960",LJPrimary,1960,White,E,White_1960,Primary Works,male
283,from Alive / Piers Paul Read -- 1974,AoFTOC,1974,Read,Piers,Read_1974,Primary Works,male
285,from Another Day of Life / Ryszard Kapuscinski -- 1976,AoFTOC,1976,Kapuscinski,Ryszard,Kapuscinski_1976,Primary Works,male
287,from Boys in Zinc / Svetlana Alexiyevich -- 1990,AoFTOC,1990,Alexiyevich,Svetlana,Alexiyevich_1990,Primary Works,female
294,from If Christ Came to Chicago / W.T. Stead -- 1894,AoFTOC,1894,Stead,W,Stead_1894,Primary Works,male
301,from The Earl of Louisiana / A.J. Liebling -- 1961,AoFTOC,1961,Liebling,A,Liebling_1961,Primary Works,male
320,The Day of the Fight / W.C. Heinz -- 1947,AoFTOC,1947,Heinz,W,Heinz_1947,Primary Works,male
338,"Anonymous, Anonymous. “Chronicle and Comment.” The Bookman 14 (Oct. 1901): 110–11.",LJSBib,1901,Anonymous,Anonymous,Anonymous_1901,Secondary Works,NA
339,"Anonymous, Anonymous. “Talking about Narrative Journalism.” Nieman Reports Fall 2000: 20–22.",LJSBib,2000,Anonymous,Anonymous,Anonymous_2000,Secondary Works,NA
340,"Anonymous, Anonymous. “The Point of View: The Newspaper and Fiction.” Scribner’s Magazine 40 (1906): 122–24.",LJSBib,1906,Anonymous,Anonymous,Anonymous_1906,Secondary Works,NA
341,"Anonymous, Anonymous. Readership Institute. Impact Study. Media Management Center. Evanston, Ill.: Northwestern University, 2000. 15 April 2007 http://www.readership.org/resources/impact_study.htm",LJSBib,2007,Anonymous,Anonymous,Anonymous_2007,Secondary Works,NA
342,"Anonymous, Anonymous. Reportage preface. Proletarian Literature in the United States: An Anthology. Ed. Granville Hicks, et al. New York: International Publishers, 1935. 211–12.",LJSBib,1935,Anonymous,Anonymous,Anonymous_1935,Secondary Works,NA
349,"Bartley, Aryn. “The Citizen-Witness and the Politics of Shame: Walker Evans and James Agee’s Let Us Now Praise Famous Men.” Literary Journalism Studies 1, no. 2 (Fall 2009): 23–41.",LJSBib,2009,Bartley,Aryn,Bartley_2009,Secondary Works,female
352,"Berner, R. Thomas. “C. D. B. Bryan.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 317–22.",LJSBib,1992,Berner,R,Berner_1992,Secondary Works,male
353,"Berner, R. Thomas. “Literary Notions and Utilitarian Reality.” Style 16 (Fall 1982): 452–57.",LJSBib,1982,Berner,R,Berner_1982,Secondary Works,male
354,"Berner, R. Thomas. Literary Newswriting: The Death of an Oxymoron. Journalism Monographs 99. Columbia, S.C.: Association for Education in Journalism and Mass Communication, Oct. 1986.",LJSBib,1986,Berner,R,Berner_1986,Secondary Works,male
355,"Berner, R. Thomas. The Literature of Journalism: Text and Context. State College, Penn.: Strata Publishing, Inc. 1999.",LJSBib,1999,Berner,R,Berner_1999,Secondary Works,male
356,"Berner, R. Thomas. Writing Literary Features. Hillsdale, N.J.: Lawrence Erlbaum Associates, 1988.",LJSBib,1988,Berner,R,Berner_1988,Secondary Works,male
361,"Boynton, H. W. “The Literary Aspect of Journalism.” Atlantic 93 (1904): 845–51.",LJSBib,1904,Boynton,H,Boynton_1904,Secondary Works,male
412,"Hapgood, Hutchins. “A New Form of Literature.” Bookman 21 (1905): 424–47.",LJSBib,1905,Hapgood,Hutchins,Hapgood_1905,Secondary Works,male
477,"Mills, Nicolaus. Introduction. The New Journalism: A Historical Anthology. New York: McGraw-Hill, 1974. xi–xx.",LJSBib,1974,Mills,Nicolaus,Mills_1974,Secondary Works,male
547,"Winterowd, W. Ross. The Rhetoric of the “Other” Literature. Carbondale, Ill.: Southern Illinois University Press, 1990. Wolfe, Tom. “The New Journalism.” The New Journalism: With an Anthology. Ed. Tom Wolfe and E. W. Johnson. New York: Harper, 1973. 3–64.",LJSBib,1973,Winterowd,W,Winterowd_1973,Secondary Works,male
552,"Anonymous, Anonymous. “Borderland of Literature,” in Spectator 71:513 (Oct. 14, 1893).",SimsBib,1893,Anonymous,Anonymous,Anonymous_1893,Secondary Works,NA
553,"Anonymous, Anonymous. “Confessions of a Literary Journalist,” in Bookman 26:370-76 (Dec. 1907).",SimsBib,1907,Anonymous,Anonymous,Anonymous_1907,Secondary Works,NA
554,"Anonymous, Anonymous. “Plea for Literary Journalism,” in Harper’s Weekly, 46:1558 (Oct. 25, 1902).",SimsBib,1902,Anonymous,Anonymous,Anonymous_1902,Secondary Works,NA
555,"Anonymous, Anonymous. “The Point of View: The Newspaper and Fiction,” in Scribner’s Magazine 40:122-24 (July 1906).",SimsBib,1906,Anonymous,Anonymous,Anonymous_1906,Secondary Works,NA
558,"Boynton, H. W. “The Literary Aspect of Journalism,” in Atlantic Monthly 93:845-51 (June 1904).",SimsBib,1904,Boynton,H,Boynton_1904,Secondary Works,male
559,"Boynton, H. W. Journalism and Literature and Other Essays. Boston and New York: Houghton Mifflin & Co., 1904.",SimsBib,1904,Boynton,H,Boynton_1904,Secondary Works,male
568,"Hapgood, Hutchins. “A New Form of Literature,” in Bookman 21:424-27 (1905).",SimsBib,1905,Hapgood,Hutchins,Hapgood_1905,Secondary Works,male
588,"Ziff, Larzer. The American 1890s: Life and Times of a Lost Generation. New York: The Viking Press, 1966.",SimsBib,1966,Ziff,Larzer,Ziff_1966,Secondary Works,male
1,"Adamic, Louis. My America 1928-1938. New York: Harper & Brothers, 1938.",LJPrimary,1938,Adamic,Louis,Adamic_1938,Primary Works,male
2,"Ade, George. Chicago Stories. Edited by Franklin J. Meine; illustrated by John T. McCutcheon and others. Chicago: Henry Regnery, 1963. Selected journalism from early in the century.",LJPrimary,1963,Ade,George,Ade_1963,Primary Works,male
3,"Ade, George. The Old Time Saloon. New York: R. Long & R. R. Smith, 1931.",LJPrimary,1931,Ade,George,Ade_1931,Primary Works,male
4,"Agee, James. James Agee: Selected Journalism. Edited, with an introduction, by Paul Ashdown. Knoxville: University of Tennessee Press, 1985.",LJPrimary,1985,Agee,James,Agee_1985,Primary Works,male
5,"Agee, James. Let Us Now Praise Famous Men. Photos by Walker Evans, with an introduction by John Hersey. Boston: Houghton Mifflin, 1988. Originally published in 1941.",LJPrimary,1941,Agee,James,Agee_1941,Primary Works,male
7,"Arlen, Michael J. Thirty Seconds. New York: Farrar, Straus, Giroux, 1980.",LJPrimary,1980,Arlen,Michael,Arlen_1980,Primary Works,male
8,"Baker, Ray Stannard. Following the Color Line. New York: Harper Torchbooks, 1964. Originally published by Doubleday, Page & Co. in 1908.",LJPrimary,1908,Baker,Ray,Baker_1908,Primary Works,male
9,"Bangs, Lester. Psychotic Reactions and Carburetor Dung. New York: Alfred A. Knopf, 1987.",LJPrimary,1987,Bangs,Lester,Bangs_1987,Primary Works,male
11,"Barich, Bill. A Fine Place to Daydream: Racehorses, Romance, and the Irish. New York: Alfred A. Knopf, 2005.",LJPrimary,2005,Barich,Bill,Barich_2005,Primary Works,male
12,"Barich, Bill. Laughing in the Hills. New York: Viking Penguin, 1980.",LJPrimary,1980,Barich,Bill,Barich_1980,Primary Works,male
14,"Berger, Meyer. Meyer Berger’s New York. New York: Random House, 1960.",LJPrimary,1960,Berger,Meyer,Berger_1960,Primary Works,male
15,"Berger, Meyer. The Eight Million: Journal of a New York Correspondent. New York: Columbia University Press, 1983. Originally published by Simon and Schuster, 1942.",LJPrimary,1942,Berger,Meyer,Berger_1942,Primary Works,male
16,"Berkman, Alexander. Prison Memoirs of an Anarchist. Introduction by Hutchins Hapgood; new introduction by Paul Goodman. New York: Schocken Books, 1970. Originally published 1912.",LJPrimary,1912,Berkman,Alexander,Berkman_1912,Primary Works,male
22,"Bolitho, William. Camera Obscura. New York: Simon and Schuster, 1930.",LJPrimary,1930,Bolitho,William,Bolitho_1930,Primary Works,male
23,"Booth, Stanley. The True Adventures of the Rolling Stones. Chicago: A Cappella Books, 2000. Originally published as Dance with the Devil in 1984. Bowden, Mark. Black Hawk Down: A Story of Modern War. New York: Atlantic Monthly Press, 1999.",LJPrimary,1999,Booth,Stanley,Booth_1999,Primary Works,male
24,"Borrow, George. The Bible in Spain. New York: G. P. Putnam's Sons, 1899.",LJPrimary,1899,Borrow,George,Borrow_1899,Primary Works,male
25,"Borrow, George. The Zincali: An Account of the Gypsies of Spain. London: John Murray, 1923.",LJPrimary,1923,Borrow,George,Borrow_1923,Primary Works,male
26,"Breslin, Jimmy. A Wolverine Is Eating My Leg. New York: Vintage, 1989.",LJPrimary,1989,Breslin,Jimmy,Breslin_1989,Primary Works,male
27,"Breslin, Jimmy. Lost in My Own Backyard: A Walk in Yellowstone National Park. New York: Crown Publishers, 2004.",LJPrimary,2004,Breslin,Jimmy,Breslin_2004,Primary Works,male
28,"Breslin, Jimmy. The World of Jimmy Breslin. New York: Viking, 1967.",LJPrimary,1967,Breslin,Jimmy,Breslin_1967,Primary Works,male
30,"Buford, Bill. Among the Thugs. New York: W. W. Norton, 1992.",LJPrimary,1992,Buford,Bill,Buford_1992,Primary Works,male
31,"Cahan, Abraham. Grandma Never Lived in America: The New Journalism of Abraham Cahan. Edited with an introduction by Moses Rischin. Bloomington: Indiana University Press, 1985.",LJPrimary,1985,Cahan,Abraham,Cahan_1985,Primary Works,male
32,"Cahill, Tim. Jaguars Ripped My Flesh: Adventure Is A Risky Business. Toronto: New York, Bantam Books, 1987.",LJPrimary,1987,Cahill,Tim,Cahill_1987,Primary Works,male
33,"Caldwell, Erskine, and Margaret Bourke-White. You Have Seen Their Faces. New York: Modern Age Books, 1937.",LJPrimary,1937,Caldwell,Erskine,Caldwell_1937,Primary Works,male
34,"Capote, Truman. In Cold Blood. New York: Random House, 1965.",LJPrimary,1965,Capote,Truman,Capote_1965,Primary Works,male
35,"Capote, Truman. The Muses Are Heard. New York: Random House, 1956.",LJPrimary,1956,Capote,Truman,Capote_1956,Primary Works,male
37,"Conaway, James. Napa: The Story of an American Eden. Boston and New York: Houghton Mifflin, 1990.",LJPrimary,1990,Conaway,James,Conaway_1990,Primary Works,male
38,"Conaway, James. The Texans. New York: Alfred A. Knopf, 1976.",LJPrimary,1976,Conaway,James,Conaway_1976,Primary Works,male
39,"Conover, Ted. Coyotes: A Journey through the Secret World of America's Illegal Aliens. New York: Vintage Books, 1987.",LJPrimary,1987,Conover,Ted,Conover_1987,Primary Works,male
40,"Conover, Ted. NewJack: Guarding Sing Sing. New York: Random House, 2000.",LJPrimary,2000,Conover,Ted,Conover_2000,Primary Works,male
41,"Conover, Ted. Rolling Nowhere: Riding the Rails with America’s Hoboes. New York: Viking, 1984.",LJPrimary,1984,Conover,Ted,Conover_1984,Primary Works,male
42,"Conover, Ted. Whiteout: Lost In Aspen. New York: Random House, 1991.",LJPrimary,1991,Conover,Ted,Conover_1991,Primary Works,male
43,"Cramer, Richard Ben. Joe DiMaggio: The Hero's Life. New York: Simon & Schuster, 2000.",LJPrimary,2000,Cramer,Richard,Cramer_2000,Primary Works,male
44,"Crane, Stephen. Tales, Sketches, and Reports, Vol. 7 of The Works of Stephen Crane, edited by Fredson Bowers. Charlottesville: University Press of Virginia, 1973.",LJPrimary,1973,Crane,Stephen,Crane_1973,Primary Works,male
45,"Dash, Leon. Rosa Lee: A Mother and Her Family in Urban America. New York: Basic Books, 1996.",LJPrimary,1996,Dash,Leon,Dash_1996,Primary Works,male
48,"Davis, Richard Harding. A Year from a Reporter's Note-Book. New York: Harper & Brothers, 1897.",LJPrimary,1897,Davis,Richard,Davis_1897,Primary Works,male
49,"Davis, Richard Harding. The Red Cross Girl. New York: Charles Scribner's Sons, 1916.",LJPrimary,1916,Davis,Richard,Davis_1916,Primary Works,male
55,"Dos Passos, John. In All Countries. New York: Harcourt, Brace and Co., 1934.",LJPrimary,1934,Dos Passos,John,Dos Passos_1934,Primary Works,male
56,"Dos Passos, John. Orient Express. New York: Harper & Brothers, 1922, 1927.",LJPrimary,1927,Dos Passos,John,Dos Passos_1927,Primary Works,male
57,"Dos Passos, John. Rosinante to the Road Again. New York: George H. Doran Co., 1922.",LJPrimary,1922,Dos Passos,John,Dos Passos_1922,Primary Works,male
58,"Dos Passos, John. Theodore Dreiser: A Selection of Uncollected Prose. Detroit: Wayne State University Press, 1977.",LJPrimary,1977,Dos Passos,John,Dos Passos_1977,Primary Works,male
59,"Dreiser, Theodore. Selected Magazine Articles of Theodore Dreiser: Life and Art in the American 1890s. Edited, with an introduction and notes, by Yoshinobu Hakutani. Rutherford, Madison, Teaneck: Fairleigh Dickinson University Press, 1985.",LJPrimary,1985,Dreiser,Theodore,Dreiser_1985,Primary Works,male
60,"Dreiser, Theodore. The Color of a Great City. New York: Boni and Liveright, 1923.",LJPrimary,1923,Dreiser,Theodore,Dreiser_1923,Primary Works,male
63,"Dunne, Finley Peter. Mr. Dooley at His Best. Edited by Elmer Ellis. New York: Scribner's, 1943.",LJPrimary,1943,Dunne,Finley,Dunne_1943,Primary Works,male
64,"Dunne, John Gregory. Vegas: A Memoir of a Dark Season. New York: Random House, 1974.",LJPrimary,1974,Dunne,John,Dunne_1974,Primary Works,male
65,"Durland, Kellogg. The Red Reign: The True Story of an Adventurous Year in Russia. New York: The Century Co., 1907.",LJPrimary,1907,Durland,Kellogg,Durland_1907,Primary Works,male
69,"Finerty, John F. War-Path and Bivouac or The Conquest of the Sioux. Norman and London: University of Oklahoma Press, 1994; originally published 1890.",LJPrimary,1890,Finerty,John,Finerty_1890,Primary Works,male
70,"Finnegan, William. Dateline Soweto: Travels With Black South African Reporters. New York: HarperCollins, 1988.",LJPrimary,1988,Finnegan,William,Finnegan_1988,Primary Works,male
80,"Flynt, Josiah. Tramping with Tramps: Studies and Sketches of Vagabond Life. New York: The Century Co., 1899.",LJPrimary,1899,Flynt,Josiah,Flynt_1899,Primary Works,male
