"","id","Year","fullCit","count","Source"
"1","Mayhew_1861",1861,"Watercress Girl / Henry Mayhew -- 1861",1,"Primary Works"
"2","Dickens_1860",1860,"The Great Tasmania's Cargo / Charles Dickens -- 1860",1,"Primary Works"
"3","Whitman_1863",1863,"from Specimen Days / Walt Whitman -- 1863",1,"Primary Works"
"4","Stead_1894",1894,"from If Christ Came to Chicago / W.T. Stead -- 1894",2,"Primary Works"
"5","Crane_1894",1894,"When Man Falls, a Crown Gathers / Stephen Crane -- 1894",2,"Primary Works"
"6","Crane_1898",1898,"An Experiment in Misery / Stephen Crane -- 1898",2,"Primary Works"
"7","Davis_1903",1903,"The Death of Rodriguez / Richard Harding Davis -- 1903",3,"Primary Works"
"8","Cahan_1898",1898,"Can't Get Their Minds Ashore / Abraham Cahan -- 1898 ",2,"Primary Works"
"9","Cahan_1899",1899,"Pillelu, Pillelu! / Abraham Cahan -- 1899",3,"Primary Works"
"10","London_1902",1902,"from The People of the Abyss / Jack London -- 1902",2,"Primary Works"
"11","Markey_1931",1931,"Drift / Morris Markey -- 1931",2,"Primary Works"
"12","Powell_1939",1939,"from Ninety Times Guilty / Hickman Powell -- 1939",3,"Primary Works"
"13","Bernstein_1945",1945,"Juke Joint / Walter Bernstein -- 1945",1,"Primary Works"
"14","Hersey_1946",1946,"from Hiroshima / John Hersey -- 1946",4,"Primary Works"
"15","Heinz_1947",1947,"The Day of the Fight / W.C. Heinz -- 1947 ",1,"Primary Works"
"16","Ross_1950",1950,"from ""Portrait of Hemingway"" / Lillian Ross -- 1950",2,"Primary Works"
"17","Lewis_1958",1958,"Two Generals / Norman Lewis -- 1958",2,"Primary Works"
"18","Talese_1970",1970,"The Silent Season of a Hero / Gay Talese -- 1970",4,"Primary Works"
"19","Capole_1966",1966,"from In Cold Blood / Truman Capole -- 1966",5,"Primary Works"
"20","Wolfe_1968",1968,"from The Electric Kool-Aid Acid Test / Tom Wolfe -- 1968",8,"Primary Works"
"21","Read_1974",1974,"from Alive / Piers Paul Read -- 1974",2,"Primary Works"
"22","Kidder_1985",1985,"from House / Tracy Kidder -- 1985",11,"Primary Works"
"23","Goldman_1988",1988,"from Brothers / Sylvester Monroe and Peter Goldman -- 1988",8,"Primary Works"
"24","Greene_1991",1991,"So ... We Meet at Last, Mr. Bond / Bob Greene -- 1991",8,"Primary Works"
"25","Smith_1991",1991,"Shadow of a Nation / Gary Smith -- 1991",8,"Primary Works"
"26","Cramer_1992",1992,"from What It Takes / Richard Ben Cramer -- 1992",8,"Primary Works"
"27","Orwell_1968",1968,"The Spike / George Orwell -- 1968",8,"Primary Works"
"28","Cooke_1950",1950,"from ""The Bronx Slave Market"" / Marvel Cooke -- 1950",2,"Primary Works"
"29","Liebling_1961",1961,"from The Earl of Louisiana / A.J. Liebling -- 1961",4,"Primary Works"
"30","Stump_1994",1994,"The Fight to Live / Al Stump -- 1994",3,"Primary Works"
"31","Mailer_1968",1968,"from The Armies of the Night / Norman Mailer -- 1968",8,"Primary Works"
"32","Thompson_1971",1971,"from ""The Scum Also Rises"" / Hunter S. Thompson -- 1971",5,"Primary Works"
"33","Rosenbaum_1991",1991,"The Last Secrets of Skull and Bones / Ron Rosenbaum -- 1991",8,"Primary Works"
"34","Conover_1987",1987,"from Coyotes / Ted Conover -- 1987",9,"Primary Works"
"35","Fenton_1988",1988,"from ""The Snap Revolution"" / James Fenton -- 1988",8,"Primary Works"
"36","Simpson_1989",1989,"Tiananmen Square / John Simpson -- 1989 ",10,"Primary Works"
